,bd,hour,time,end_use,category,energy
289,False,4,03:00:00,lighting_exterior,Lighting,0.15301419510763659
290,False,4,03:00:00,lighting_garage,Lighting,0.03150311458720172
291,False,4,03:00:00,lighting_interior,Lighting,0.5088969196332622
292,False,4,03:00:00,mech_vent,HVAC,0.03851607064019133
293,False,4,03:00:00,plug_loads,Plugs,4.773167780111117
294,False,4,03:00:00,pool_heater,Pool,0.0027855034081872864
295,False,4,03:00:00,pool_pump,Pool,0.054390867261764946
296,False,4,03:00:00,range_oven,Kitchen,0.0661315981715259
297,False,4,03:00:00,refrigerator,Kitchen,1.3137983549788972
298,False,4,03:00:00,well_pump,Kitchen,0.03990145744420692
299,False,4,03:15:00,ceiling_fan,HVAC,0.05221232981867692
300,False,4,03:15:00,clothes_dryer,Laundry,0.05441207817398971
301,False,4,03:15:00,clothes_washer,Laundry,0.004211593559967583
302,False,4,03:15:00,cooling,HVAC,1.1246178360513082
303,False,4,03:15:00,cooling_fans_pumps,HVAC,0.1604611892718926
304,False,4,03:15:00,dishwasher,Kitchen,0.00775086994147665
305,False,4,03:15:00,freezer,Kitchen,0.1959858829970483
306,False,4,03:15:00,heating,HVAC,2.0369824433098342
307,False,4,03:15:00,heating_fans_pumps,HVAC,1.3252110532391839
308,False,4,03:15:00,heating_hp_bkup,HVAC,0.10850373409525027
309,False,4,03:15:00,hot_tub_heater,Hot Tub,0.14803640644288213
310,False,4,03:15:00,hot_tub_pump,Hot Tub,0.14520234379351357
311,False,4,03:15:00,hot_water,HVAC,0.3990489930751005
312,False,4,03:15:00,lighting_exterior,Lighting,0.1443775240841056
313,False,4,03:15:00,lighting_garage,Lighting,0.027657752958448776
314,False,4,03:15:00,lighting_interior,Lighting,0.5096733764988244
315,False,4,03:15:00,mech_vent,HVAC,0.0395559945312124
316,False,4,03:15:00,plug_loads,Plugs,4.771537093035168
317,False,4,03:15:00,pool_heater,Pool,0.004989327008209961
318,False,4,03:15:00,pool_pump,Pool,0.09736707228989121
319,False,4,03:15:00,range_oven,Kitchen,0.07285648843279594
320,False,4,03:15:00,refrigerator,Kitchen,1.2885137201235988
321,False,4,03:15:00,well_pump,Kitchen,0.037802853716632695
322,False,4,03:30:00,ceiling_fan,HVAC,0.052161708405473774
323,False,4,03:30:00,clothes_dryer,Laundry,0.06030051218372836
324,False,4,03:30:00,clothes_washer,Laundry,0.0041221345736861675
325,False,4,03:30:00,cooling,HVAC,1.0964292210952333
326,False,4,03:30:00,cooling_fans_pumps,HVAC,0.15458782875764704
327,False,4,03:30:00,dishwasher,Kitchen,0.00773834961134396
328,False,4,03:30:00,freezer,Kitchen,0.1959858829970483
329,False,4,03:30:00,heating,HVAC,2.0360494086686125
330,False,4,03:30:00,heating_fans_pumps,HVAC,1.326298259788706
331,False,4,03:30:00,heating_hp_bkup,HVAC,0.10938094279388022
332,False,4,03:30:00,hot_tub_heater,Hot Tub,0.14803640644288213
333,False,4,03:30:00,hot_tub_pump,Hot Tub,0.14520234379351357
334,False,4,03:30:00,hot_water,HVAC,0.405160976351875
335,False,4,03:30:00,lighting_exterior,Lighting,0.1443775240841056
336,False,4,03:30:00,lighting_garage,Lighting,0.027657752958448776
337,False,4,03:30:00,lighting_interior,Lighting,0.5096616417580333
338,False,4,03:30:00,mech_vent,HVAC,0.0395559945312124
339,False,4,03:30:00,plug_loads,Plugs,4.771057196146082
340,False,4,03:30:00,pool_heater,Pool,0.004989327008209961
341,False,4,03:30:00,pool_pump,Pool,0.09736707228989121
342,False,4,03:30:00,range_oven,Kitchen,0.07988319229926459
343,False,4,03:30:00,refrigerator,Kitchen,1.2885137201235988
344,False,4,03:30:00,well_pump,Kitchen,0.037802853716632695
345,False,4,03:45:00,ceiling_fan,HVAC,0.05218802564841935
346,False,4,03:45:00,clothes_dryer,Laundry,0.06565233957378008
347,False,4,03:45:00,clothes_washer,Laundry,0.004088403331328686
348,False,4,03:45:00,cooling,HVAC,1.072852899362706
349,False,4,03:45:00,cooling_fans_pumps,HVAC,0.14987900624374317
350,False,4,03:45:00,dishwasher,Kitchen,0.007788234534539305
351,False,4,03:45:00,freezer,Kitchen,0.1959858829970483
352,False,4,03:45:00,heating,HVAC,2.058221194856921
353,False,4,03:45:00,heating_fans_pumps,HVAC,1.3391503050209113
354,False,4,03:45:00,heating_hp_bkup,HVAC,0.11025721860516692
355,False,4,03:45:00,hot_tub_heater,Hot Tub,0.14803640644288213
356,False,4,03:45:00,hot_tub_pump,Hot Tub,0.14520234379351357
357,False,4,03:45:00,hot_water,HVAC,0.4265472222978586
358,False,4,03:45:00,lighting_exterior,Lighting,0.1443775240841056
359,False,4,03:45:00,lighting_garage,Lighting,0.027657752958448776
360,False,4,03:45:00,lighting_interior,Lighting,0.509692279742358
361,False,4,03:45:00,mech_vent,HVAC,0.0395559945312124
362,False,4,03:45:00,plug_loads,Plugs,4.770767657374346
363,False,4,03:45:00,pool_heater,Pool,0.004989327008209961
364,False,4,03:45:00,pool_pump,Pool,0.09736707228989121
365,False,4,03:45:00,range_oven,Kitchen,0.09076905470729907
366,False,4,03:45:00,refrigerator,Kitchen,1.2885137201235988
367,False,4,03:45:00,well_pump,Kitchen,0.037802853716632695
368,False,5,04:00:00,ceiling_fan,HVAC,0.05217776388764393
369,False,5,04:00:00,clothes_dryer,Laundry,0.068246355579938
370,False,5,04:00:00,clothes_washer,Laundry,0.004285340759415819
371,False,5,04:00:00,cooling,HVAC,1.0464065742684292
372,False,5,04:00:00,cooling_fans_pumps,HVAC,0.14488815715618375
373,False,5,04:00:00,dishwasher,Kitchen,0.007759658722236459
374,False,5,04:00:00,freezer,Kitchen,0.1959858829970483
375,False,5,04:00:00,heating,HVAC,2.0664418963240436
376,False,5,04:00:00,heating_fans_pumps,HVAC,1.3431244542023624
377,False,5,04:00:00,heating_hp_bkup,HVAC,0.11162218008629939
378,False,5,04:00:00,hot_tub_heater,Hot Tub,0.14803640644288213
379,False,5,04:00:00,hot_tub_pump,Hot Tub,0.14520234379351357
380,False,5,04:00:00,hot_water,HVAC,0.45544463523744527
381,False,5,04:00:00,lighting_exterior,Lighting,0.1443775240841056
382,False,5,04:00:00,lighting_garage,Lighting,0.027657752958448776
383,False,5,04:00:00,lighting_interior,Lighting,0.5096798576108931
384,False,5,04:00:00,mech_vent,HVAC,0.0395559945312124
385,False,5,04:00:00,plug_loads,Plugs,4.770816216615529
386,False,5,04:00:00,pool_heater,Pool,0.004989327008209961
387,False,5,04:00:00,pool_pump,Pool,0.09736707228989121
388,False,5,04:00:00,range_oven,Kitchen,0.10620740735024725
389,False,5,04:00:00,refrigerator,Kitchen,1.2885137201235988
390,False,5,04:00:00,well_pump,Kitchen,0.037802853716632695
391,False,5,04:15:00,ceiling_fan,HVAC,0.05277711945599587
392,False,5,04:15:00,clothes_dryer,Laundry,0.06955308525111997
393,False,5,04:15:00,clothes_washer,Laundry,0.005009801430426948
394,False,5,04:15:00,cooling,HVAC,1.0235652204643577
395,False,5,04:15:00,cooling_fans_pumps,HVAC,0.1403293331072029
396,False,5,04:15:00,dishwasher,Kitchen,0.008377082845446556
397,False,5,04:15:00,freezer,Kitchen,0.1959858829970483
398,False,5,04:15:00,heating,HVAC,2.1740770141040886
399,False,5,04:15:00,heating_fans_pumps,HVAC,1.4038168772689108
400,False,5,04:15:00,heating_hp_bkup,HVAC,0.11691911442110267
401,False,5,04:15:00,hot_tub_heater,Hot Tub,0.21691776370754987
402,False,5,04:15:00,hot_tub_pump,Hot Tub,0.21324316956194006
403,False,5,04:15:00,hot_water,HVAC,0.4962314027703679
404,False,5,04:15:00,lighting_exterior,Lighting,0.14718968843057542
405,False,5,04:15:00,lighting_garage,Lighting,0.02759205804975254
406,False,5,04:15:00,lighting_interior,Lighting,0.5449695619242246
407,False,5,04:15:00,mech_vent,HVAC,0.04212300590375077
408,False,5,04:15:00,plug_loads,Plugs,4.778622814300929
409,False,5,04:15:00,pool_heater,Pool,0.009543093825803881
410,False,5,04:15:00,pool_pump,Pool,0.18575760796731622
411,False,5,04:15:00,range_oven,Kitchen,0.13180338108151204
412,False,5,04:15:00,refrigerator,Kitchen,1.2842567096798165
413,False,5,04:15:00,well_pump,Kitchen,0.04187579075779747
414,False,5,04:30:00,ceiling_fan,HVAC,0.052763518940518395
415,False,5,04:30:00,clothes_dryer,Laundry,0.07387947305363748
416,False,5,04:30:00,clothes_washer,Laundry,0.006519851443097046
417,False,5,04:30:00,cooling,HVAC,1.006452236841662
418,False,5,04:30:00,cooling_fans_pumps,HVAC,0.1368529038730266
419,False,5,04:30:00,dishwasher,Kitchen,0.009555466857935008
420,False,5,04:30:00,freezer,Kitchen,0.1959858829970483
421,False,5,04:30:00,heating,HVAC,2.1443720644206103
422,False,5,04:30:00,heating_fans_pumps,HVAC,1.3940262246018167
423,False,5,04:30:00,heating_hp_bkup,HVAC,0.11660163812840477
